timestamp,open,high,low,close,volume
2024-01-02 09:15:00,1499.9992690829042,1500.4887583773793,1499.8961231030282,1500.0,7083
2024-01-02 09:16:00,1498.393016266867,1500.0070963449807,1498.1993617255062,1498.8995310216721,2624
2024-01-02 09:17:00,1499.1843882318924,1500.687755653103,1499.382836819952,1499.930397166573,6125
2024-01-02 09:18:00,1497.410867825028,1498.003958512927,1497.5008210875908,1497.534784313465,4175
2024-01-02 09:19:00,1493.1547808621192,1494.4857152644595,1492.2022525956652,1493.251467449032,5149
2024-01-02 09:20:00,1489.1025135704533,1489.7765659205522,1488.54852401469,1489.2295416695426,3078
2024-01-02 09:21:00,1490.056163736252,1490.3137661631101,1490.0035677273927,1490.2151485194695,5551
2024-01-02 09:22:00,1490.83625274534,1491.5923559814787,1489.9646788835512,1491.1803861123656,4352
2024-01-02 09:23:00,1490.9979954407177,1493.2919372333308,1491.4665874758716,1491.508715752047,2545
2024-01-02 09:24:00,1490.7404434756916,1491.6764670572757,1490.0920277667308,1491.553159405271,7224
2024-01-02 09:25:00,1489.993810349295,1491.7081953416427,1489.581730031088,1490.6975735780643,3195
2024-01-02 09:26:00,1491.0226307408025,1491.4542419468794,1489.490209676746,1491.199661514236,7618
2024-01-02 09:27:00,1491.095463464289,1492.6330342572667,1489.70285817937,1491.5273957472255,4069
2024-01-02 09:28:00,1490.2348635482745,1493.456640275626,1491.0258148470373,1491.2424665424521,5358
2024-01-02 09:29:00,1490.5474552377548,1491.580079157997,1490.345947051272,1491.1731621739968,4438
2024-01-02 09:30:00,1489.9741842082292,1490.7914631876356,1488.117784372981,1490.3391399546706,2616
2024-01-02 09:31:00,1488.5165453109778,1490.857565158858,1488.4971411986621,1488.6742162404282,6244
2024-01-02 09:32:00,1484.373950226315,1485.9570423693901,1484.3865568829053,1484.620777008968,5343
2024-01-02 09:33:00,1485.9368344144295,1487.2395162688952,1486.8199388503438,1486.8596242320916,3811
2024-01-02 09:34:00,1485.1635633751537,1486.4446840071369,1484.3042367805208,1485.361471185205,2171
2024-01-02 09:35:00,1486.2345987962456,1487.482183062498,1486.4865316341486,1486.9182351993866,6142
